46,70,38,34,14,onTime
medium,high,low,medium,medium,onTime
34,63,66,36,0,onTime
medium,high,medium,medium,low,onTime
16,44,76,8,0,onTime
low,medium,medium,low,low,onTime
22,45,50,12,8,onTime
low,medium,low,low,medium,onTime
22,72,78,22,0,onTime
low,high,medium,low,low,onTime
42,53,88,28,6,onTime
medium,medium,high,medium,low,onTime
34,59,49,28,12,onTime
medium,medium,low,medium,medium,onTime
28,56,75,28,6,onTime
low,medium,medium,medium,low,onTime
33,59,40,24,0,onTime
low,medium,low,low,low,onTime
31,70,70,14,12,onTime
low,high,medium,low,medium,onTime
40,48,54,52,4,onTime
medium,medium,low,high,low,onTime
4,61,60,8,0,onTime
low,medium,medium,low,low,onTime
50,39,74,42,0,onTime
medium,low,medium,medium,low,onTime
39,78,64,22,4,onTime
medium,high,medium,low,low,onTime
39,58,51,45,2,onTime
medium,medium,low,medium,low,onTime
56,36,76,34,4,onTime
medium,low,medium,medium,low,onTime
34,26,72,12,4,onTime
medium,low,medium,low,low,onTime
23,39,64,12,0,onTime
low,low,medium,low,low,onTime
37,46,50,50,4,onTime
medium,medium,low,high,low,onTime
33,32,58,20,4,onTime
low,low,low,low,low,onTime
29,58,64,38,2,onTime
low,medium,medium,medium,low,onTime
31,64,71,34,0,onTime
low,high,medium,medium,low,onTime
23,38,56,23,0,onTime
low,low,low,low,low,onTime
67,24,64,42,4,onTime
high,low,medium,medium,low,onTime
25,30,94,26,4,onTime
low,low,high,medium,low,onTime
50,57,56,20,14,onTime
medium,medium,low,low,medium,onTime
34,61,62,36,8,onTime
medium,medium,medium,medium,medium,onTime
51,38,81,28,4,onTime
medium,low,medium,medium,low,onTime
45,52,52,48,12,onTime
medium,medium,low,high,medium,onTime
33,44,110,10,0,onTime
low,medium,high,low,low,onTime
6,29,72,16,0,onTime
low,low,medium,low,low,onTime
24,47,90,30,0,onTime
low,medium,high,medium,low,onTime
21,42,52,20,0,onTime
low,medium,low,low,low,onTime
42,52,60,46,2,onTime
medium,medium,medium,high,low,onTime
33,67,72,32,0,onTime
low,high,medium,medium,low,onTime
50,55,68,32,2,onTime
medium,medium,medium,medium,low,onTime
40,59,76,16,12,onTime
medium,medium,medium,low,medium,onTime
24,37,60,20,0,onTime
low,low,medium,low,low,onTime
35,59,62,34,2,onTime
medium,medium,medium,medium,low,onTime
20,20,76,56,0,onTime
low,low,medium,high,low,onTime
27,54,80,30,0,onTime
low,medium,medium,medium,low,onTime
32,60,61,46,0,onTime
low,medium,medium,high,low,onTime
36,52,66,34,4,onTime
medium,medium,medium,medium,low,onTime
15,49,78,36,0,onTime
low,medium,medium,medium,low,onTime
25,45,72,4,0,onTime
low,medium,medium,low,low,onTime
23,28,71,12,0,onTime
low,low,medium,low,low,onTime
24,58,100,18,0,onTime
low,medium,high,low,low,onTime
40,44,129,0,0,onTime
medium,medium,high,low,low,onTime
14,25,72,20,0,onTime
low,low,medium,low,low,onTime
23,61,74,28,4,onTime
low,medium,medium,medium,low,onTime
34,55,34,60,2,onTime
medium,medium,low,high,low,onTime
16,35,58,20,0,onTime
low,low,low,low,low,onTime
24,60,118,6,0,onTime
low,medium,high,low,low,onTime
34,63,73,32,0,onTime
medium,high,medium,medium,low,onTime
29,60,74,22,10,onTime
low,medium,medium,low,medium,onTime
46,52,95,10,0,onTime
medium,medium,high,low,low,onTime
42,53,46,34,16,onTime
medium,medium,low,medium,high,onTime
58,61,32,58,6,onTime
medium,medium,low,high,low,onTime
26,47,47,20,0,onTime
low,medium,low,low,low,onTime
35,57,62,48,2,onTime
medium,medium,medium,high,low,onTime
39,60,64,26,8,onTime
medium,medium,medium,medium,medium,onTime
6,23,76,12,0,onTime
low,low,medium,low,low,onTime
17,46,76,8,0,onTime
low,medium,medium,low,low,onTime
23,48,78,40,2,onTime
low,medium,medium,medium,low,onTime
28,64,88,20,0,onTime
low,high,high,low,low,onTime
35,59,76,30,2,onTime
medium,medium,medium,medium,low,onTime
29,40,90,34,0,onTime
low,medium,high,medium,low,onTime
38,60,90,20,0,onTime
medium,medium,high,low,low,onTime
24,59,80,27,4,onTime
low,medium,medium,medium,low,onTime
50,34,95,24,0,onTime
medium,low,high,low,low,onTime
50,58,60,30,4,onTime
medium,medium,medium,medium,low,onTime
41,54,60,41,0,onTime
medium,medium,medium,medium,low,onTime
16,56,64,4,0,onTime
low,medium,medium,low,low,onTime
45,49,70,30,6,onTime
medium,medium,medium,medium,low,onTime
32,41,82,36,0,onTime
low,medium,medium,medium,low,onTime
37,57,68,26,8,onTime
medium,medium,medium,medium,medium,onTime
58,42,64,36,4,onTime
medium,medium,medium,medium,low,onTime
18,31,67,20,0,onTime
low,low,medium,low,low,onTime
9,37,79,8,0,onTime
low,low,medium,low,low,onTime
33,44,94,28,0,onTime
low,medium,high,medium,low,onTime
38,45,74,38,0,onTime
medium,medium,medium,medium,low,onTime
16,33,58,26,0,onTime
low,low,low,medium,low,onTime
18,36,60,16,0,onTime
low,low,medium,low,low,onTime
24,38,116,12,0,onTime
low,low,high,low,low,onTime
43,26,70,50,0,onTime
medium,low,medium,high,low,onTime
30,75,70,24,2,onTime
low,high,medium,low,low,onTime
37,47,69,28,10,onTime
medium,medium,medium,medium,medium,onTime
34,35,60,18,0,onTime
medium,low,medium,low,low,onTime
20,32,72,12,0,onTime
low,low,medium,low,low,onTime
39,60,62,27,4,onTime
medium,medium,medium,medium,low,onTime
30,57,60,42,0,onTime
low,medium,medium,medium,low,onTime
29,75,69,9,10,onTime
low,high,medium,low,medium,onTime
46,38,72,38,2,onTime
medium,low,medium,medium,low,onTime
15,35,73,12,0,onTime
low,low,medium,low,low,onTime
