39|122|[39:34, 39:16, 39:25, 39:35, 39:24, 39:40, 39:32, 39:58, 39:15, 39:43, 39:31, 39:29, 39:23, 39:12, 39:47, 39:49, 39:37, 39:26, 39:41, 39:15, 39:25, 39:47, 39:00, 39:20, 39:50, 39:26, 39:43, 39:00, 39:34, 39:39, 39:20, 39:37, 39:44, 39:48, 39:34, 39:25, 39:49, 39:43, 39:23, 39:31, 39:54, 39:51, 39:03, 39:17, 39:00, 39:37, 39:05, 39:12, 39:18, 39:52, 39:48, 39:32, 39:37, 39:53, 39:38, 39:43, 39:54, 39:08, 39:54, 39:34, 39:55, 39:31, 39:57, 39:15, 39:02, 39:52, 39:46, 39:13, 39:09, 39:25, 39:47, 39:52, 39:10, 39:49, 39:52, 39:36, 39:42, 39:47, 39:28, 39:21, 39:27, 39:19, 39:15, 39:27, 39:09, 39:59, 39:44, 39:35, 39:42, 39:08, 39:12, 39:36, 39:03, 39:49, 39:10, 39:15, 39:32, 39:37, 39:05, 39:04, 39:45, 39:37, 39:53, 39:38, 39:34, 39:55, 39:31, 39:46, 39:13, 39:09, 39:25, 39:47, 39:52, 39:09, 39:59, 39:44, 39:35, 39:32, 39:37, 39:05, 39:04, 39:45]
40|192|[40:24, 40:59, 40:30, 40:04, 40:30, 40:25, 40:42, 40:37, 40:54, 40:56, 40:00, 40:17, 40:22, 40:44, 40:59, 40:55, 40:30, 40:18, 40:24, 40:02, 40:30, 40:07, 40:15, 40:05, 40:14, 40:43, 40:10, 40:13, 40:35, 40:01, 40:50, 40:16, 40:14, 40:59, 40:30, 40:00, 40:39, 40:23, 40:30, 40:04, 40:43, 40:02, 40:58, 40:26, 40:49, 40:45, 40:46, 40:58, 40:36, 40:20, 40:51, 40:50, 40:42, 40:23, 40:45, 40:48, 40:31, 40:57, 40:13, 40:59, 40:28, 40:21, 40:30, 40:02, 40:32, 40:50, 40:02, 40:08, 40:37, 40:41, 40:30, 40:26, 40:05, 40:53, 40:43, 40:24, 40:14, 40:36, 40:18, 40:36, 40:34, 40:03, 40:16, 40:51, 40:22, 40:50, 40:10, 40:36, 40:14, 40:35, 40:56, 40:40, 40:42, 40:40, 40:04, 40:34, 40:14, 40:58, 40:54, 40:55, 40:07, 40:39, 40:40, 40:22, 40:01, 40:51, 40:55, 40:45, 40:21, 40:30, 40:43, 40:47, 40:30, 40:20, 40:28, 40:27, 40:54, 40:53, 40:52, 40:40, 40:48, 40:58, 40:49, 40:17, 40:59, 40:31, 40:53, 40:02, 40:20, 40:40, 40:44, 40:39, 40:44, 40:43, 40:17, 40:38, 40:32, 40:03, 40:20, 40:33, 40:06, 40:48, 40:38, 40:27, 40:53, 40:48, 40:49, 40:39, 40:21, 40:17, 40:17, 40:18, 40:39, 40:46, 40:12, 40:45, 40:13, 40:01, 40:31, 40:22, 40:34, 40:14, 40:58, 40:54, 40:55, 40:07, 40:39, 40:40, 40:22, 40:01, 40:51, 40:55, 40:20, 40:28, 40:27, 40:54, 40:53, 40:52, 40:48, 40:53, 40:02, 40:20, 40:40, 40:44, 40:39, 40:44, 40:43, 40:17, 40:48, 40:49, 40:31, 40:22]
41|223|[41:24, 41:37, 41:13, 41:32, 41:05, 41:31, 41:06, 41:16, 41:56, 41:40, 41:21, 41:23, 41:54, 41:38, 41:36, 41:45, 41:05, 41:58, 41:00, 41:20, 41:19, 41:19, 41:07, 41:42, 41:03, 41:45, 41:53, 41:22, 41:53, 41:47, 41:12, 41:18, 41:32, 41:55, 41:43, 41:57, 41:06, 41:47, 41:26, 41:41, 41:59, 41:45, 41:05, 41:29, 41:54, 41:10, 41:05, 41:56, 41:31, 41:43, 41:06, 41:17, 41:38, 41:19, 41:27, 41:50, 41:10, 41:33, 41:21, 41:15, 41:19, 41:04, 41:49, 41:50, 41:56, 41:52, 41:38, 41:48, 41:35, 41:12, 41:36, 41:18, 41:58, 41:03, 41:30, 41:45, 41:31, 41:35, 41:04, 41:07, 41:20, 41:30, 41:18, 41:06, 41:03, 41:26, 41:42, 41:28, 41:33, 41:57, 41:59, 41:31, 41:04, 41:26, 41:50, 41:51, 41:27, 41:25, 41:49, 41:34, 41:58, 41:49, 41:01, 41:49, 41:04, 41:32, 41:00, 41:18, 41:54, 41:27, 41:23, 41:51, 41:40, 41:37, 41:34, 41:25, 41:49, 41:56, 41:13, 41:05, 41:35, 41:47, 41:07, 41:55, 41:24, 41:19, 41:36, 41:02, 41:53, 41:38, 41:08, 41:14, 41:29, 41:26, 41:09, 41:50, 41:30, 41:38, 41:41, 41:06, 41:48, 41:24, 41:01, 41:48, 41:35, 41:00, 41:39, 41:57, 41:00, 41:57, 41:21, 41:06, 41:35, 41:14, 41:11, 41:03, 41:03, 41:14, 41:50, 41:56, 41:41, 41:01, 41:13, 41:28, 41:07, 41:39, 41:17, 41:34, 41:52, 41:45, 41:01, 41:51, 41:12, 41:02, 41:55, 41:29, 41:00, 41:45, 41:45, 41:54, 41:14, 41:51, 41:11, 41:52, 41:21, 41:33, 41:37, 41:46, 41:38, 41:23, 41:57, 41:59, 41:31, 41:04, 41:26, 41:50, 41:51, 41:25, 41:49, 41:34, 41:58, 41:49, 41:01, 41:49, 41:56, 41:13, 41:35, 41:19, 41:36, 41:02, 41:53, 41:06, 41:35, 41:14, 41:11, 41:11, 41:52, 41:21, 41:33, 41:37, 41:46, 41:38, 41:23]
42|215|[42:12, 42:26, 42:55, 42:47, 42:54, 42:06, 42:20, 42:41, 42:50, 42:09, 42:17, 42:27, 42:15, 42:29, 42:44, 42:19, 42:13, 42:13, 42:11, 42:18, 42:05, 42:02, 42:29, 42:45, 42:12, 42:18, 42:13, 42:53, 42:21, 42:38, 42:10, 42:36, 42:02, 42:32, 42:37, 42:55, 42:04, 42:36, 42:22, 42:32, 42:23, 42:46, 42:44, 42:20, 42:33, 42:16, 42:34, 42:35, 42:37, 42:09, 42:25, 42:43, 42:11, 42:09, 42:02, 42:48, 42:38, 42:51, 42:08, 42:17, 42:35, 42:35, 42:20, 42:52, 42:21, 42:58, 42:30, 42:55, 42:42, 42:19, 42:56, 42:49, 42:29, 42:33, 42:00, 42:32, 42:10, 42:11, 42:16, 42:09, 42:22, 42:41, 42:46, 42:30, 42:57, 42:33, 42:40, 42:53, 42:15, 42:42, 42:57, 42:19, 42:27, 42:16, 42:15, 42:16, 42:24, 42:40, 42:01, 42:37, 42:11, 42:37, 42:12, 42:03, 42:37, 42:49, 42:38, 42:24, 42:04, 42:56, 42:31, 42:35, 42:45, 42:44, 42:20, 42:13, 42:53, 42:36, 42:14, 42:30, 42:12, 42:58, 42:34, 42:23, 42:00, 42:55, 42:43, 42:51, 42:44, 42:54, 42:06, 42:09, 42:40, 42:00, 42:49, 42:17, 42:57, 42:50, 42:35, 42:38, 42:29, 42:34, 42:42, 42:57, 42:18, 42:37, 42:03, 42:25, 42:59, 42:23, 42:16, 42:29, 42:40, 42:11, 42:39, 42:26, 42:40, 42:45, 42:25, 42:40, 42:37, 42:28, 42:38, 42:14, 42:26, 42:46, 42:16, 42:12, 42:32, 42:24, 42:17, 42:32, 42:56, 42:54, 42:53, 42:29, 42:54, 42:40, 42:53, 42:15, 42:42, 42:57, 42:19, 42:27, 42:16, 42:15, 42:16, 42:24, 42:40, 42:01, 42:37, 42:11, 42:37, 42:12, 42:03, 42:37, 42:49, 42:12, 42:58, 42:34, 42:23, 42:00, 42:55, 42:09, 42:40, 42:00, 42:49, 42:17, 42:57, 42:50, 42:23, 42:54, 42:53, 42:29, 42:54]
43|160|[43:32, 43:44, 43:19, 43:29, 43:13, 43:14, 43:44, 43:08, 43:56, 43:39, 43:44, 43:06, 43:56, 43:20, 43:29, 43:08, 43:04, 43:14, 43:37, 43:56, 43:38, 43:00, 43:07, 43:02, 43:31, 43:22, 43:33, 43:51, 43:02, 43:53, 43:04, 43:58, 43:54, 43:28, 43:10, 43:11, 43:33, 43:22, 43:35, 43:11, 43:58, 43:43, 43:46, 43:40, 43:01, 43:18, 43:49, 43:50, 43:59, 43:11, 43:39, 43:43, 43:46, 43:04, 43:39, 43:56, 43:47, 43:36, 43:50, 43:48, 43:20, 43:32, 43:34, 43:14, 43:12, 43:21, 43:15, 43:31, 43:25, 43:54, 43:59, 43:51, 43:54, 43:41, 43:12, 43:05, 43:37, 43:46, 43:27, 43:05, 43:39, 43:29, 43:53, 43:28, 43:39, 43:16, 43:24, 43:35, 43:16, 43:10, 43:23, 43:22, 43:02, 43:35, 43:24, 43:50, 43:55, 43:43, 43:21, 43:55, 43:22, 43:03, 43:43, 43:29, 43:13, 43:39, 43:28, 43:44, 43:19, 43:56, 43:44, 43:25, 43:47, 43:50, 43:30, 43:23, 43:24, 43:40, 43:45, 43:55, 43:58, 43:34, 43:01, 43:43, 43:55, 43:59, 43:11, 43:39, 43:43, 43:46, 43:47, 43:36, 43:50, 43:48, 43:20, 43:32, 43:34, 43:14, 43:12, 43:21, 43:41, 43:12, 43:05, 43:37, 43:46, 43:27, 43:39, 43:29, 43:53, 43:10, 43:43, 43:29, 43:13, 43:45, 43:55, 43:58, 43:34, 43:01, 43:43, 43:55]
44|81|[44:15, 44:20, 44:23, 44:03, 44:37, 44:29, 44:30, 44:15, 44:30, 44:46, 44:21, 44:53, 44:30, 44:27, 44:06, 44:04, 44:20, 44:10, 44:39, 44:04, 44:38, 44:18, 44:08, 44:30, 44:29, 44:35, 44:11, 44:36, 44:10, 44:15, 44:36, 44:21, 44:47, 44:25, 44:46, 44:22, 44:03, 44:18, 44:51, 44:01, 44:15, 44:18, 44:53, 44:26, 44:24, 44:06, 44:09, 44:52, 44:59, 44:12, 44:00, 44:54, 44:53, 44:22, 44:23, 44:40, 44:16, 44:00, 44:51, 44:26, 44:27, 44:03, 44:02, 44:48, 44:38, 44:35, 44:11, 44:36, 44:10, 44:15, 44:51, 44:01, 44:24, 44:06, 44:09, 44:52, 44:59, 44:22, 44:02, 44:48, 44:38]
45|52|[45:41, 45:45, 45:54, 45:23, 45:29, 45:54, 45:16, 45:55, 45:04, 45:50, 45:46, 45:23, 45:46, 45:51, 45:04, 45:07, 45:28, 45:41, 45:59, 45:56, 45:49, 45:28, 45:07, 45:39, 45:08, 45:42, 45:39, 45:30, 45:15, 45:13, 45:15, 45:16, 45:14, 45:41, 45:25, 45:02, 45:40, 45:29, 45:17, 45:06, 45:48, 45:33, 45:49, 45:28, 45:39, 45:42, 45:39, 45:13, 45:15, 45:16, 45:02, 45:33]
46|40|[46:08, 46:33, 46:33, 46:11, 46:47, 46:27, 46:20, 46:09, 46:19, 46:30, 46:28, 46:23, 46:27, 46:55, 46:56, 46:50, 46:30, 46:10, 46:21, 46:09, 46:00, 46:24, 46:53, 46:59, 46:35, 46:32, 46:44, 46:08, 46:58, 46:04, 46:08, 46:16, 46:10, 46:27, 46:55, 46:09, 46:00, 46:59, 46:35, 46:32]
47|17|[47:48, 47:00, 47:08, 47:47, 47:32, 47:17, 47:00, 47:47, 47:28, 47:46, 47:08, 47:15, 47:55, 47:51, 47:45, 47:57, 47:46]
48|15|[48:37, 48:00, 48:18, 48:36, 48:51, 48:28, 48:58, 48:48, 48:13, 48:06, 48:16, 48:27, 48:12, 48:37, 48:28]
