"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"594"|"10.93949"|"106.54312"|"0"|"6"|"0"|"2012-11-09 00:45:08"
"594"|"10.93948"|"106.54313"|"0"|"6"|"0"|"2012-11-09 00:45:38"
"594"|"10.93947"|"106.54313"|"0"|"6"|"0"|"2012-11-09 00:46:08"
"594"|"10.93946"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:46:38"
"594"|"10.93947"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:47:08"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:47:38"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:48:08"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:48:38"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:49:08"
"594"|"10.93948"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:49:38"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:50:08"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:50:38"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:51:08"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:51:38"
"594"|"10.93949"|"106.54313"|"0"|"5"|"0"|"2012-11-09 00:52:08"
"594"|"10.93941"|"106.54318"|"0"|"5"|"0"|"2012-11-09 00:52:38"
"594"|"10.9395"|"106.54305"|"0"|"5"|"0"|"2012-11-09 00:53:08"
"594"|"10.93948"|"106.54309"|"0"|"5"|"0"|"2012-11-09 00:53:38"
"594"|"10.93946"|"106.54311"|"0"|"5"|"0"|"2012-11-09 00:54:08"
"594"|"10.93944"|"106.54315"|"0"|"5"|"0"|"2012-11-09 00:54:38"
"594"|"10.93945"|"106.54317"|"0"|"4"|"0"|"2012-11-09 00:55:08"
"594"|"10.93943"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:55:38"
"594"|"10.93944"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:56:08"
"594"|"10.93945"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:56:38"
"594"|"10.93944"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:57:09"
"594"|"10.93944"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:57:40"
"594"|"10.93944"|"106.54317"|"0"|"5"|"0"|"2012-11-09 00:58:11"
"594"|"10.93944"|"106.54316"|"0"|"5"|"0"|"2012-11-09 00:58:42"
"594"|"10.93944"|"106.54316"|"0"|"5"|"0"|"2012-11-09 00:59:13"
"594"|"10.93944"|"106.54316"|"0"|"5"|"0"|"2012-11-09 00:59:44"
"594"|"10.93945"|"106.54315"|"0"|"5"|"0"|"2012-11-09 01:00:15"
"594"|"10.93945"|"106.54315"|"0"|"5"|"0"|"2012-11-09 01:00:46"
"594"|"10.93945"|"106.54314"|"0"|"5"|"0"|"2012-11-09 01:01:17"
"594"|"10.93945"|"106.54313"|"0"|"5"|"0"|"2012-11-09 01:01:48"
"594"|"10.93945"|"106.54314"|"0"|"4"|"0"|"2012-11-09 01:02:19"
