27,30,36,10,3,onTime
27,26,32,18,0,onTime
34,21,46,9,0,onTime
11,19,16,29,6,onTime
36,23,24,20,0,onTime
32,26,30,14,1,onTime
38,26,37,6,3,onTime
28,29,24,16,5,onTime
32,26,17,20,4,onTime
31,24,22,24,0,onTime
27,12,36,18,0,onTime
21,35,23,12,4,onTime
28,17,49,12,0,onTime
27,16,24,21,5,onTime
33,20,18,21,6,onTime
35,25,34,15,0,onTime
40,28,13,27,0,onTime
37,16,26,26,0,onTime
37,24,20,21,2,onTime
49,13,22,9,12,onTime
31,18,35,23,0,onTime
37,23,27,19,2,onTime
36,19,25,22,0,onTime
27,31,28,17,0,onTime
27,22,28,24,0,onTime
25,22,41,14,0,onTime
22,21,26,24,0,onTime
39,14,22,25,0,onTime
34,16,46,9,0,onTime
38,13,37,12,3,onTime
43,13,22,30,0,onTime
24,21,49,7,0,onTime
32,22,24,23,2,onTime
28,30,36,12,0,onTime
41,13,27,26,2,onTime
35,15,28,23,1,onTime
32,29,26,20,2,onTime
29,33,37,6,3,onTime
25,8,30,25,4,onTime
27,31,17,23,1,onTime
40,19,26,18,4,onTime
32,19,36,15,0,onTime
31,35,14,22,3,onTime
14,33,27,21,3,onTime
30,19,31,17,2,onTime
34,17,32,22,0,onTime
22,35,16,13,11,onTime
27,36,18,20,0,onTime
12,15,17,30,4,onTime
34,21,21,18,5,onTime
40,18,22,20,5,onTime
32,16,22,22,6,onTime
33,18,30,23,1,onTime
45,16,27,13,7,onTime
20,30,51,3,0,onTime
30,23,29,14,3,onTime
37,18,29,15,6,onTime
48,14,25,11,8,onTime
24,37,18,20,3,onTime
35,28,18,16,8,onTime
53,14,16,23,3,onTime
30,34,32,9,3,onTime
26,28,29,15,2,onTime
22,31,19,25,3,onTime
43,15,18,21,4,onTime
37,26,23,19,3,onTime
29,22,36,15,0,onTime
30,32,24,20,0,onTime
24,25,24,24,1,onTime
29,25,34,13,0,onTime
31,28,38,9,3,onTime
36,29,23,15,5,onTime
29,15,19,36,0,onTime
45,19,23,13,6,onTime
42,26,24,16,3,onTime
22,24,39,18,0,onTime
22,35,30,12,3,onTime
8,26,24,27,0,onTime
28,25,22,21,6,onTime
31,21,15,22,7,onTime
39,19,24,12,9,onTime
41,18,20,26,0,onTime
40,21,23,23,1,onTime
30,26,27,20,0,onTime
18,13,22,22,9,onTime
30,24,22,18,5,onTime
34,19,40,9,0,onTime
32,18,19,27,1,onTime
32,25,25,19,1,onTime
28,32,26,15,3,onTime
36,20,32,12,6,onTime
